"id_stone","label_stone","id_word","label_word","wkt","x","y"
10000001,"CIIC 1 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-9.316944 53.485556)",-9.316944,53.485556
10000001,"CIIC 1 (Ogham Stone Concept by RAS Macalister)",17,"LUG","POINT(-9.316944 53.485556)",-9.316944,53.485556
10000002,"CIIC 10 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-9.248056 54.248611)",-9.248056,54.248611
10000004,"CIIC 101 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.608333 51.838611)",-8.608333,51.838611
10000007,"CIIC 104 (Ogham Stone Concept by RAS Macalister)",1,"ANM","POINT(-8.823889 51.955833)",-8.823889,51.955833
10000007,"CIIC 104 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.823889 51.955833)",-8.823889,51.955833
10000007,"CIIC 104 (Ogham Stone Concept by RAS Macalister)",46,"CORRE","POINT(-8.823889 51.955833)",-8.823889,51.955833
10000008,"CIIC 105 (Ogham Stone Concept by RAS Macalister)",1,"ANM","POINT(-8.823889 51.955833)",-8.823889,51.955833
10000008,"CIIC 105 (Ogham Stone Concept by RAS Macalister)",3,"CELI","POINT(-8.823889 51.955833)",-8.823889,51.955833
10000008,"CIIC 105 (Ogham Stone Concept by RAS Macalister)",9,"NIOTA","POINT(-8.823889 51.955833)",-8.823889,51.955833
10000008,"CIIC 105 (Ogham Stone Concept by RAS Macalister)",10,"CUNA","POINT(-8.823889 51.955833)",-8.823889,51.955833
10000009,"CIIC 106 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.887778 51.940833)",-8.887778,51.940833
10000009,"CIIC 106 (Ogham Stone Concept by RAS Macalister)",8,"MUCOI","POINT(-8.887778 51.940833)",-8.887778,51.940833
10000009,"CIIC 106 (Ogham Stone Concept by RAS Macalister)",41,"BIR","POINT(-8.887778 51.940833)",-8.887778,51.940833
10000010,"CIIC 107 (Ogham Stone Concept by RAS Macalister)",10,"CUNA","POINT(-8.866111 51.991111)",-8.866111,51.991111
10000010,"CIIC 107 (Ogham Stone Concept by RAS Macalister)",32,"CUNAGUSSOS","POINT(-8.866111 51.991111)",-8.866111,51.991111
10000010,"CIIC 107 (Ogham Stone Concept by RAS Macalister)",87,"CUNAGUSSOS","POINT(-8.866111 51.991111)",-8.866111,51.991111
10000011,"CIIC 108 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.81 51.9875)",-8.81,51.9875
10000011,"CIIC 108 (Ogham Stone Concept by RAS Macalister)",17,"LUG","POINT(-8.81 51.9875)",-8.81,51.9875
10000012,"CIIC 109 (Ogham Stone Concept by RAS Macalister)",3,"CELI","POINT(-8.789444 51.985556)",-8.789444,51.985556
10000012,"CIIC 109 (Ogham Stone Concept by RAS Macalister)",9,"NIOTA","POINT(-8.789444 51.985556)",-8.789444,51.985556
10000013,"CIIC 11 (Ogham Stone Concept by RAS Macalister)",10,"CUNA","POINT(-8.362222 53.84)",-8.362222,53.84
10000015,"CIIC 111 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.838889 51.9575)",-8.838889,51.9575
10000015,"CIIC 111 (Ogham Stone Concept by RAS Macalister)",8,"MUCOI","POINT(-8.838889 51.9575)",-8.838889,51.9575
10000016,"CIIC 112 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.794722 51.868056)",-8.794722,51.868056
10000016,"CIIC 112 (Ogham Stone Concept by RAS Macalister)",17,"LUG","POINT(-8.794722 51.868056)",-8.794722,51.868056
10000017,"CIIC 113 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.794722 51.868056)",-8.794722,51.868056
10000017,"CIIC 113 (Ogham Stone Concept by RAS Macalister)",17,"LUG","POINT(-8.794722 51.868056)",-8.794722,51.868056
10000018,"CIIC 114 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.794722 51.868056)",-8.794722,51.868056
10000018,"CIIC 114 (Ogham Stone Concept by RAS Macalister)",18,"ERC","POINT(-8.794722 51.868056)",-8.794722,51.868056
10000018,"CIIC 114 (Ogham Stone Concept by RAS Macalister)",52,"ERC","POINT(-8.794722 51.868056)",-8.794722,51.868056
10000019,"CIIC 115 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.794722 51.868056)",-8.794722,51.868056
10000020,"CIIC 116 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.794722 51.868056)",-8.794722,51.868056
10000020,"CIIC 116 (Ogham Stone Concept by RAS Macalister)",20,"BRAN","POINT(-8.794722 51.868056)",-8.794722,51.868056
10000022,"CIIC 118 (Ogham Stone Concept by RAS Macalister)",8,"MUCOI","POINT(-8.779444 51.974444)",-8.779444,51.974444
10000023,"CIIC 119 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.779444 51.974444)",-8.779444,51.974444
10000023,"CIIC 119 (Ogham Stone Concept by RAS Macalister)",48,"DALI","POINT(-8.779444 51.974444)",-8.779444,51.974444
10000023,"CIIC 119 (Ogham Stone Concept by RAS Macalister)",71,"DALAGNI","POINT(-8.779444 51.974444)",-8.779444,51.974444
10000024,"CIIC 12 (Ogham Stone Concept by RAS Macalister)",6,"MAQI","POINT(-8.297778 53.8075)",-8.297778,53.8075
10000024,"CIIC 12 (Ogham Stone Concept by RAS Macalister)",54,"MEDVVI","POINT(-8.297778 53.8075)",-8.297778,53.8075
