"ciic"|"latitude"|"longitude"|"altitude"|"geometry"|"macci"|"mac"|"lug"|"qen"|"avi"|"cuna"|"maq"|"maqi"|"alatto"|"alattos"|"qasign"|"ceran"|"acto"|"mucoi"|"cuno"|"medvvi"|"vraicci"|"catto"|"ivacattos"|"iva"|"cat"|"cattos"|"maqqi"|"koi"|"tren"|"netta"|"bran"|"drugno"|"vir"|"ver"|"dov"|"branogeni"|"ineqaglas"|"glas"|"covagni"|"bar"|"bari"|"iarni"|"dercmasoc"|"erc"|"neta"|"cari"|"anm"|"trenu"|"cattu"|"brusco"|"colomagni"|"dovalesci"|"giragni"|"viragni"|"coimagni"|"mocoi"|"moco"|"domngen"|"conann"|"cona"|"con"|"casoni"|"maci"|"brocc"|"bir"|"bait"|"cronun"|"erca"|"dommo"|"meddo"|"corbagni"|"corre"|"celi"|"cunas"|"cunagussos"|"dalagni"|"dali"|"dala"|"ttren"|"vergoso"|"dego"|"laddigni"|"laidann"|"corbbi"|"conas"|"glasiconas"|"curci"|"drogno"|"qeni"|"roddos"|"conu"|"brusccos"|"catu"|"brocann"|"gamicunas"|"degos"|"vorgos"|"battigni"|"cati"|"broci"|"gatteglan"|"mocu"|"baidagni"|"ritte"|"cattuvvirr"|"ivageni"|"ivo"|"daimagni"|"gosoctas"|"cunnetas"|"cata"|"catabar"|"moddagn"|"brocagni"|"magl"
30|"52.6177778"|"-7.1722222222222225"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
31|"52.5188889"|"-7.036388888888888"||"Point"|||||||1|1||||||1||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
32|"52.6325"|"-7.066111111111111"||"Point"|||||||1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
33|"52.5425"|"-6.958055555555556"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
34|"52.5386111"|"-7.158611111111111"||"Point"|||||||1||||||||||||||||1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
35|"52.5775"|"-7.121388888888888"||"Point"|||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
36|"52.4438889"|"-7.360833333333333"||"Point"|||||||1|1||||||1||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
37|"52.4438889"|"-7.360833333333333"||"Point"|||||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
38|"52.4719444"|"-7.231111111111111"||"Point"|||||||1|1||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
39|53845|"-6.476666666666667"||"Point"|||||||||||||||||||||||||||1|||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
40|"53.6733333"|"-6.559166666666666"||"Point"|||||1||1|1|||||||||||||||||||||||||1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
41|"53.7358333"|"-6.96"||"Point"|||1||||1|1||||||1|||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
42|"52.2505556"|"-6.720555555555555"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
43|"52.1173"|"-6.6177"||"Point"|||||1|||||||||||||||||||||||||||||||1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
44|"52.2152778"|"-6.4275"||"Point"||||||||||||||||||||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
45|"52.5436111"|"-6.530277777777778"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
46|"52.1613889"|"-6.887777777777777"||"Point"|||||||1||||||||||||||1||1||||||||||||||||1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
47|"52.9091667"|"-6.063611111111111"||"Point"|||||||||||||||||||||||||||||||||||||||||1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
48|"53.0169444"|"-6.617777777777778"||"Point"|||||||1|1||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
49|"52.9663889"|"-6.624444444444445"||"Point"|||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
50|"53.9469444"|"-6.608888888888888"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51|"52.9980556"|-6535||"Point"|||||||1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52|"53.0222222"|"-9.063611111111111"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53|"52.8463"|"-8.9807"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
54|"52.8033333"|"-8.447777777777778"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
55|"51.7330556"|"-9.28361111111111"||"Point"|||||||1|||||||1|||||||||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
56|"52.0680556"|"-8.599444444444446"||"Point"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
